0,"",,,,,100001,,,,,,,,,
406,22666,8532,,,,110,1,97,47.0909090909090909,24.7299341157190814,48,12,30,65,83
406,22820,8507,,,,88,1,96,40.9772727272727273,22.3416405579652233,39,10,22,56,73
406,22820,8532,,,,89,0,96,43.1123595505617978,26.2433706790215321,41,7,25,62,85
406,22856,8507,,,,35,1,98,44.0285714285714286,24.3883840651840722,40,15,26,68,76
406,22856,8532,,,,36,6,99,46.9722222222222222,26.7928413798602034,45,12,22,69,82
406,22955,8507,,,,104,0,98,43.0000000000000000,25.5980885208706569,43,7,21,60,75
406,22955,8532,,,,104,0,99,48.9326923076923077,26.8965166918847218,51,14,28,68,85
406,23034,8507,,,,62,1,93,44.1451612903225806,21.7759430912771851,42,16,28,62,73
406,23034,8532,,,,69,0,92,35.9420289855072464,24.6510255471970020,33,6,15,55,71
406,23220,8507,,,,91,3,97,41.9120879120879121,24.7461100654216636,40,8,23,59,76
406,23220,8532,,,,67,1,97,43.6417910447761194,26.3931243873356747,43,6,19,66,79
406,23304,8507,,,,61,1,93,42.2622950819672131,25.1680363684735791,43,11,19,59,77
406,23304,8532,,,,61,1,98,45.7704918032786885,26.7079223219272218,42,8,30,68,79
406,23325,8507,,,,29,1,97,49.8620689655172414,20.7032159991958642,49,28,36,58,76
406,23325,8532,,,,46,1,95,47.3695652173913043,23.6157750437684004,45,17,31,67,75
406,23653,8507,,,,8,4,72,36.8750000000000000,25.2045205695894391,24,4,18,49,72
406,23798,8507,,,,83,1,98,50.0602409638554217,26.4724197930095897,56,8,33,71,78
406,23798,8532,,,,101,0,95,40.1980198019801980,25.2127030688818441,40,6,19,58,77
406,23806,8507,,,,114,4,97,46.6666666666666667,23.7593639357468582,48,16,28,65,77
406,23806,8532,,,,93,0,89,43.7741935483870968,24.6638835724460740,45,5,25,65,78
406,23865,8507,,,,46,1,94,43.3913043478260870,25.8882025991845390,44,10,20,63,81
406,23865,8532,,,,49,1,77,31.5918367346938776,22.6512677784884508,28,3,12,53,62
406,23868,8507,,,,176,0,98,42.9034090909090909,24.1612863842192753,44,8,24,58,75
406,23868,8532,,,,205,0,99,43.3463414634146341,24.1959332343042642,44,14,23,63,75
406,23986,8507,,,,21,5,87,46.4285714285714286,23.3871148895528124,46,14,31,65,74
406,23986,8532,,,,15,20,75,50.0666666666666667,20.1688113774945196,55,25,31,71,74
406,23988,8507,,,,7,1,88,49.1428571428571429,34.4016887736080549,67,1,17,75,88
406,24006,8507,,,,7,6,96,28.8571428571428571,30.8514104022737315,23,6,11,29,96
406,24134,0,,,,6,11,61,36.3333333333333333,19.7754056005601733,30,11,18,51,61
406,24134,8507,,,,208,0,99,43.0576923076923077,25.5277917788228544,42,9,23,62,77
406,24134,8532,,,,199,0,99,42.6432160804020101,24.5995881896331365,41,10,23,62,77
406,24148,8507,,,,45,4,91,43.8666666666666667,20.3219540935860344,43,19,25,58,71
406,24148,8532,,,,45,2,98,44.3777777777777778,25.7719799296629419,41,13,25,59,82
406,24609,8507,,,,14,10,97,51.7857142857142857,25.2378792581815291,51,17,35,71,78
406,24609,8532,,,,17,5,93,49.5882352941176471,27.1892874665956715,59,6,32,71,80
406,24660,0,,,,9,0,99,54.6666666666666667,34.5000000000000000,63,0,47,76,99
406,24660,8507,,,,265,0,99,43.9396226415094340,24.4971422237327195,45,8,24,63,76
406,24660,8532,,,,252,0,98,40.6349206349206349,23.3917284303195414,41,8,23,58,72
406,24818,8507,,,,89,0,99,44.8314606741573034,22.6430984644208671,43,10,35,57,76
406,24818,8532,,,,99,0,96,43.6363636363636364,25.2592494861013868,45,8,22,60,78
406,24897,8507,,,,6,13,88,41.6666666666666667,26.4549932274923606,36,13,23,53,88
406,24909,8507,,,,9,9,83,39.1111111111111111,21.7281179836430176,32,9,28,45,83
406,24966,8507,,,,94,3,98,44.6595744680851064,22.0982912741309109,44,11,30,59,71
406,24966,8532,,,,72,2,91,37.4722222222222222,22.7453584320723088,38,9,19,49,74
406,24970,8507,,,,81,0,99,44.2222222222222222,25.1226988996007354,44,6,25,62,74
406,24970,8532,,,,77,0,97,43.7012987012987013,24.8204419863234035,47,12,21,63,76
406,24974,8507,,,,88,2,93,42.9545454545454545,24.6683328534383344,44,10,18,59,74
406,24974,8532,,,,93,0,98,44.6344086021505376,27.3125170167041047,46,10,21,65,82
406,24977,8507,,,,107,0,99,43.9532710280373832,24.6175973175694334,43,8,26,61,77
406,24977,8532,,,,108,2,99,50.2685185185185185,24.8474246889401207,50,15,31,69,86
406,25056,8507,,,,65,0,94,44.3538461538461538,23.8212292197204118,48,11,22,60,74
